Date,Open,Close,Inflation,GDP
2019-09-01,7954.14990234375,7779.06982421875,1.7,1.4
2019-10-01,7785.240234375,7977.1201171875,0.9,1.4
2019-11-01,8002.47021484375,7738.9599609375,0.8,1.6
2019-12-01,7769.259765625,7815.259765625,1.3,1.6
2020-01-01,7721.259765625,7200.7900390625,2.5,2.2
2020-02-01,7206.22021484375,6787.91015625,2.9,2.2
2020-03-01,6759.3701171875,5321.22998046875,2.6,2.2
2020-04-01,5321.7900390625,5700.7099609375,2.5,2.2
2020-05-01,5601.39013671875,5838.83984375,2.2,-5.1
2020-06-01,5791.31982421875,6207.72021484375,2.1,-5.1
2020-07-01,6223.5400390625,5928.4501953125,2.5,-5.1
2020-08-01,5816.22998046875,5884.18017578125,2.7,-15.2
2020-09-01,5922.06005859375,5864.22998046875,2.4,-15.2
2020-10-01,5881.89990234375,6324.0,2.3,-15.2
2020-11-01,6282.89013671875,6791.4599609375,2.5,8.0
2020-12-01,6740.2998046875,7139.7099609375,3.3,8.0
2021-01-01,7149.64013671875,6612.6201171875,3.5,3.8
2021-02-01,6634.58984375,6794.85986328125,4.2,3.8
2021-03-01,6828.7001953125,6443.08984375,4.7,3.8
2021-04-01,6447.39990234375,6370.8701171875,4.5,3.8
2021-05-01,6392.97021484375,6628.490234375,4.5,0.3
2021-06-01,6619.02001953125,6901.91015625,4.5,0.3
2021-07-01,6949.97998046875,6270.22998046875,4.1,0.3
2021-08-01,6304.02978515625,6855.43994140625,4.0,-1.3
2021-09-01,6829.580078125,6952.8798828125,4.9,-1.3
2021-10-01,6964.490234375,7054.7001953125,4.8,-1.3
2021-11-01,7159.66015625,7200.8798828125,4.6,3.1
2021-12-01,7194.08984375,7122.6298828125,4.2,3.1
2022-01-01,7101.64013671875,7361.64990234375,3.2,3.5
2022-02-01,7380.14013671875,7311.009765625,3.0,3.5
2022-03-01,7322.3798828125,7203.47021484375,3.0,3.5
2022-04-01,7160.47998046875,6731.25,4.0,3.5
2022-05-01,6742.830078125,6759.89990234375,4.9,1.9
